,script,testbed,step_name,step_details,step_result,step_message,error_class,category_description
0,L3TC_FUNC_VRRP_13,virgo_csc,step_validate_ospf_neighbour,"2024-01-02 14:17:54,830 INFO    : ###############################################################################2024-01-02 14:17:54,830 INFO    : |                        step_validate_ospf_neighbour                        |2024-01-02 14:17:54,830 INFO    : |                      Verify OSPF neighbor on all nodes                      |2024-01-02 14:17:54,831 INFO    : ###############################################################################2024-01-02 14:17:54,831 INFO    : Verifying OSPF neighbors2024-01-02 14:17:54,854 DEBUG   : [r1] switching to base prompt2024-01-02 14:17:54,854 INFO    : [r1] => command: end2024-01-02 14:17:54,935 DEBUG   : [r1] switching to base prompt2024-01-02 14:17:54,935 INFO    : [r1] => command: end2024-01-02 14:17:55,017 DEBUG   : [r1] => : show ip ospf neighbor2024-01-02 14:17:59,321 DEBUG   : [r1] <= output:  Vrf  default   Neighbor-ID     Pri   State          DeadTime   Address         Interface   Helper      HelperAge     HelperER   Bfd         -----------     ---   -----          --------   -------         ---------   ---------   ------------  ---------  -----        2024-01-02 14:17:59,322 DEBUG   : [r1] using default parser...2024-01-02 14:17:59,322 DEBUG   : [r1] Using template C:\Users\mangatayaruk\repo\saspylib\src\saspylib\./ttp_templates\neos\ospf_neighbors.ttp to parse raw data2024-01-02 14:17:59,328 ERROR   : No neighbors found2024-01-02 14:17:59,328 ERROR   : Step step_validate_ospf_neighbour: Failed with error ""Failure: OSPF neighbor status on r1 not proper""",FAIL,Failure: OSPF neighbor status on r1 not proper,node_issue,"info : info : | step_validate_ospf_neighbour | info : | verify ospf neighbor on all nodes | info : info : verifying ospf neighbors debug : [r1] switching to base prompt info : [r1] => command: end debug : [r1] switching to base prompt info : [r1] => command: end debug : [r1] => : show ip ospf neighbor debug : [r1] <= output: vrf default neighbor-id pri state deadtime address interface helper helperage helperer bfd ----------- --- ----- -------- ------- --------- --------- ------------ --------- ----- debug : [r1] using default parser... debug : [r1] using template c:\users\mangatayaruk\repo\saspylib\src\saspylib\./ttp_templates\neos\ospf_neighbors.ttp to parse raw data error : no neighbors found error : step step_validate_ospf_neighbour: failed with error ""failure: ospf neighbor status on r1 not proper"""
1,L3TC_FUNC_VRRP_13,virgo_csc,create_ospf_configuration,"2024-01-02 14:57:19,692 INFO    : ###############################################################################2024-01-02 14:57:19,692 INFO    : |                          create_ospf_configuration                          |2024-01-02 14:57:19,692 INFO    : |                          create ospf configuration                          |2024-01-02 14:57:19,693 INFO    : ###############################################################################2024-01-02 14:57:19,693 WARNING : could not find any instance with value(s) - {'router_id': '11.11.11.11', 'area': '', 'process_id': '', 'vrf': None}2024-01-02 14:57:19,694 WARNING : no ospf instance found for device r1, as 11.11.11.112024-01-02 14:57:19,715 DEBUG   : [r1] switching to router_ospf prompt2024-01-02 14:57:20,168 INFO    : [r1] => command: end2024-01-02 14:57:20,369 INFO    : [r1] => command: router ospf  2024-01-02 14:57:20,469 INFO    : [r1] => command: router-id 11.11.11.112024-01-02 14:57:20,542 DEBUG   : [r1] switching to base prompt2024-01-02 14:57:20,542 INFO    : [r1] => command: end2024-01-02 14:57:20,613 DEBUG   : [r1] switching to router_ospf prompt2024-01-02 14:57:21,066 INFO    : [r1] => command: end2024-01-02 14:57:21,256 INFO    : [r1] => command: router ospf  2024-01-02 14:57:21,304 INFO    : [r1] => command: network 10.10.10.1 area 0.0.0.02024-01-02 14:57:21,377 DEBUG   : [r1] switching to base prompt2024-01-02 14:57:21,377 INFO    : [r1] => command: end2024-01-02 14:57:21,480 DEBUG   : [r1] switching to router_ospf prompt2024-01-02 14:57:21,933 INFO    : [r1] => command: end2024-01-02 14:57:22,134 INFO    : [r1] => command: router ospf  2024-01-02 14:57:22,182 INFO    : [r1] => command: network 100.100.100.1 area 0.0.0.02024-01-02 14:57:22,267 DEBUG   : [r1] switching to base prompt2024-01-02 14:57:22,267 INFO    : [r1] => command: end2024-01-02 14:57:22,381 DEBUG   : [r1] switching to interface prompt2024-01-02 14:57:22,834 INFO    : [r1] => command: end2024-01-02 14:57:23,035 INFO    : [r1] => command: interface 10gi 1/1/122024-01-02 14:57:23,083 INFO    : [r1] => command: ip ospf cost 102024-01-02 14:57:24,132 INFO    : [r1] => command: ip ospf hello-interval 602024-01-02 14:57:25,280 INFO    : [r1] => command: ip ospf dead-interval 2402024-01-02 14:57:26,656 INFO    : [r1] => command: ip ospf transmit-delay 52024-01-02 14:57:28,285 INFO    : [r1] => command: ip ospf priority 12024-01-02 14:57:29,333 INFO    : [r1] => command: ip ospf network broadcast2024-01-02 14:57:30,382 DEBUG   : [r1] switching to base prompt2024-01-02 14:57:30,382 INFO    : [r1] => command: end2024-01-02 14:57:30,474 DEBUG   : [r1] switching to interface prompt2024-01-02 14:57:30,927 INFO    : [r1] => command: end2024-01-02 14:57:32,081 INFO    : [r1] => command: interface 10gi 1/1/172024-01-02 14:57:32,238 INFO    : [r1] => command: ip ospf cost 102024-01-02 14:57:32,680 ERROR   : [r1] <= command error: % could not find mib object to edit 2024-01-02 14:57:32,680 ERROR   : [r1] error executing command -> ip ospf cost 102024-01-02 14:57:32,680 DEBUG   : [r1] switching to base prompt2024-01-02 14:57:32,681 INFO    : [r1] => command: end2024-01-02 14:57:34,936 INFO    : [r1] => command: end2024-01-02 14:57:34,962 INFO    : [r1] <= output: L3VPN_218# end2024-01-02 14:57:35,028 ERROR   : Error configuring ospf with router id 11.11.11.11 on device r12024-01-02 14:57:35,028 ERROR   : Step create_ospf_configuration: Failed with error ""Unable to configure ospf for device r1 with""",FAIL,Unable to configure ospf for device r1 with,script_issue,"info : info : | create_ospf_configuration | info : | create ospf configuration | info : warning : could not find any instance with value(s) - {'router_id': '11.11.11.11', 'area': '', 'process_id': '', 'vrf': none} warning : no ospf instance found for device r1, as 11.11.11.11 debug : [r1] switching to router_ospf prompt info : [r1] => command: end info : [r1] => command: router ospf info : [r1] => command: router-id 11.11.11.11 debug : [r1] switching to base prompt info : [r1] => command: end debug : [r1] switching to router_ospf prompt info : [r1] => command: end info : [r1] => command: router ospf info : [r1] => command: network 10.10.10.1 area 0.0.0.0 debug : [r1] switching to base prompt info : [r1] => command: end debug : [r1] switching to router_ospf prompt info : [r1] => command: end info : [r1] => command: router ospf info : [r1] => command: network 100.100.100.1 area 0.0.0.0 debug : [r1] switching to base prompt info : [r1] => command: end debug : [r1] switching to interface prompt info : [r1] => command: end info : [r1] => command: interface 10gi 1/1/12 info : [r1] => command: ip ospf cost 10 info : [r1] => command: ip ospf hello-interval 60 info : [r1] => command: ip ospf dead-interval 240 info : [r1] => command: ip ospf transmit-delay 5 info : [r1] => command: ip ospf priority 1 info : [r1] => command: ip ospf network broadcast debug : [r1] switching to base prompt info : [r1] => command: end debug : [r1] switching to interface prompt info : [r1] => command: end info : [r1] => command: interface 10gi 1/1/17 info : [r1] => command: ip ospf cost 10 error : [r1] <= command error: % could not find mib object to edit error : [r1] error executing command -> ip ospf cost 10 debug : [r1] switching to base prompt info : [r1] => command: end info : [r1] => command: end info : [r1] <= output: l3vpn_218 end error : error configuring ospf with router id 11.11.11.11 on device r1 error : step create_ospf_configuration: failed with error ""unable to configure ospf for device r1 with"""
2,L3TC_FUNC_VRRP_13,virgo_csc,step_validate_ospf_neighbour,"2024-01-02 14:57:35,029 INFO    : ###############################################################################2024-01-02 14:57:35,029 INFO    : |                        step_validate_ospf_neighbour                        |2024-01-02 14:57:35,029 INFO    : |                      Verify OSPF neighbor on all nodes                      |2024-01-02 14:57:35,030 INFO    : ###############################################################################2024-01-02 14:57:35,030 INFO    : Verifying OSPF neighbors2024-01-02 14:57:35,051 DEBUG   : [r1] switching to base prompt2024-01-02 14:57:35,051 INFO    : [r1] => command: end2024-01-02 14:57:35,122 DEBUG   : [r1] switching to base prompt2024-01-02 14:57:35,122 INFO    : [r1] => command: end2024-01-02 14:57:35,193 DEBUG   : [r1] => : show ip ospf neighbor2024-01-02 14:57:39,497 DEBUG   : [r1] <= output:  Vrf  default   Neighbor-ID     Pri   State          DeadTime   Address         Interface   Helper      HelperAge     HelperER   Bfd         -----------     ---   -----          --------   -------         ---------   ---------   ------------  ---------  -----        2024-01-02 14:57:39,498 DEBUG   : [r1] using default parser...2024-01-02 14:57:39,498 DEBUG   : [r1] Using template C:\Users\mangatayaruk\repo\saspylib\src\saspylib\./ttp_templates\neos\ospf_neighbors.ttp to parse raw data2024-01-02 14:57:39,504 ERROR   : No neighbors found2024-01-02 14:57:39,504 ERROR   : Step step_validate_ospf_neighbour: Failed with error ""Failure: OSPF neighbor status on r1 not proper""",FAIL,Failure: OSPF neighbor status on r1 not proper,node_issue,"info : info : | step_validate_ospf_neighbour | info : | verify ospf neighbor on all nodes | info : info : verifying ospf neighbors debug : [r1] switching to base prompt info : [r1] => command: end debug : [r1] switching to base prompt info : [r1] => command: end debug : [r1] => : show ip ospf neighbor debug : [r1] <= output: vrf default neighbor-id pri state deadtime address interface helper helperage helperer bfd ----------- --- ----- -------- ------- --------- --------- ------------ --------- ----- debug : [r1] using default parser... debug : [r1] using template c:\users\mangatayaruk\repo\saspylib\src\saspylib\./ttp_templates\neos\ospf_neighbors.ttp to parse raw data error : no neighbors found error : step step_validate_ospf_neighbour: failed with error ""failure: ospf neighbor status on r1 not proper"""
3,L3TC_FUNC_VRRP_13,virgo_csc,create_ospf_configuration,"2024-01-02 15:00:29,561 INFO    : ###############################################################################2024-01-02 15:00:29,561 INFO    : |                          create_ospf_configuration                          |2024-01-02 15:00:29,561 INFO    : |                          create ospf configuration                          |2024-01-02 15:00:29,562 INFO    : ###############################################################################2024-01-02 15:00:29,562 WARNING : could not find any instance with value(s) - {'router_id': '11.11.11.11', 'area': '', 'process_id': '', 'vrf': None}2024-01-02 15:00:29,563 WARNING : no ospf instance found for device r1, as 11.11.11.112024-01-02 15:00:29,585 DEBUG   : [r1] switching to router_ospf prompt2024-01-02 15:00:30,038 INFO    : [r1] => command: end2024-01-02 15:00:30,228 INFO    : [r1] => command: router ospf  2024-01-02 15:00:30,328 INFO    : [r1] => command: router-id 11.11.11.112024-01-02 15:00:30,417 DEBUG   : [r1] switching to base prompt2024-01-02 15:00:30,417 INFO    : [r1] => command: end2024-01-02 15:00:30,488 DEBUG   : [r1] switching to router_ospf prompt2024-01-02 15:00:30,941 INFO    : [r1] => command: end2024-01-02 15:00:31,131 INFO    : [r1] => command: router ospf  2024-01-02 15:00:31,179 INFO    : [r1] => command: network 10.10.10.1 area 0.0.0.02024-01-02 15:00:31,263 DEBUG   : [r1] switching to base prompt2024-01-02 15:00:31,263 INFO    : [r1] => command: end2024-01-02 15:00:31,356 DEBUG   : [r1] switching to router_ospf prompt2024-01-02 15:00:31,809 INFO    : [r1] => command: end2024-01-02 15:00:32,000 INFO    : [r1] => command: router ospf  2024-01-02 15:00:32,048 INFO    : [r1] => command: network 100.100.100.1 area 0.0.0.02024-01-02 15:00:32,121 DEBUG   : [r1] switching to base prompt2024-01-02 15:00:32,121 INFO    : [r1] => command: end2024-01-02 15:00:32,236 DEBUG   : [r1] switching to interface prompt2024-01-02 15:00:32,689 INFO    : [r1] => command: end2024-01-02 15:00:32,890 INFO    : [r1] => command: interface 10gi 1/1/122024-01-02 15:00:32,938 INFO    : [r1] => command: ip ospf cost 102024-01-02 15:00:33,986 INFO    : [r1] => command: ip ospf hello-interval 602024-01-02 15:00:35,035 INFO    : [r1] => command: ip ospf dead-interval 2402024-01-02 15:00:36,084 INFO    : [r1] => command: ip ospf transmit-delay 52024-01-02 15:00:37,133 INFO    : [r1] => command: ip ospf priority 12024-01-02 15:00:38,181 INFO    : [r1] => command: ip ospf network broadcast2024-01-02 15:00:39,229 DEBUG   : [r1] switching to base prompt2024-01-02 15:00:39,229 INFO    : [r1] => command: end2024-01-02 15:00:39,322 DEBUG   : [r1] switching to interface prompt2024-01-02 15:00:39,775 INFO    : [r1] => command: end2024-01-02 15:00:39,976 INFO    : [r1] => command: interface 10gi 1/1/172024-01-02 15:00:40,057 INFO    : [r1] => command: ip ospf cost 102024-01-02 15:00:40,105 ERROR   : [r1] <= command error: % could not find mib object to edit 2024-01-02 15:00:40,105 ERROR   : [r1] error executing command -> ip ospf cost 102024-01-02 15:00:40,105 DEBUG   : [r1] switching to base prompt2024-01-02 15:00:40,106 INFO    : [r1] => command: end2024-01-02 15:00:40,197 ERROR   : Error configuring ospf with router id 11.11.11.11 on device r12024-01-02 15:00:40,197 ERROR   : Step create_ospf_configuration: Failed with error ""Unable to configure ospf for device r1 with""",FAIL,Unable to configure ospf for device r1 with,script_issue,"info : info : | create_ospf_configuration | info : | create ospf configuration | info : warning : could not find any instance with value(s) - {'router_id': '11.11.11.11', 'area': '', 'process_id': '', 'vrf': none} warning : no ospf instance found for device r1, as 11.11.11.11 debug : [r1] switching to router_ospf prompt info : [r1] => command: end info : [r1] => command: router ospf info : [r1] => command: router-id 11.11.11.11 debug : [r1] switching to base prompt info : [r1] => command: end debug : [r1] switching to router_ospf prompt info : [r1] => command: end info : [r1] => command: router ospf info : [r1] => command: network 10.10.10.1 area 0.0.0.0 debug : [r1] switching to base prompt info : [r1] => command: end debug : [r1] switching to router_ospf prompt info : [r1] => command: end info : [r1] => command: router ospf info : [r1] => command: network 100.100.100.1 area 0.0.0.0 debug : [r1] switching to base prompt info : [r1] => command: end debug : [r1] switching to interface prompt info : [r1] => command: end info : [r1] => command: interface 10gi 1/1/12 info : [r1] => command: ip ospf cost 10 info : [r1] => command: ip ospf hello-interval 60 info : [r1] => command: ip ospf dead-interval 240 info : [r1] => command: ip ospf transmit-delay 5 info : [r1] => command: ip ospf priority 1 info : [r1] => command: ip ospf network broadcast debug : [r1] switching to base prompt info : [r1] => command: end debug : [r1] switching to interface prompt info : [r1] => command: end info : [r1] => command: interface 10gi 1/1/17 info : [r1] => command: ip ospf cost 10 error : [r1] <= command error: % could not find mib object to edit error : [r1] error executing command -> ip ospf cost 10 debug : [r1] switching to base prompt info : [r1] => command: end error : error configuring ospf with router id 11.11.11.11 on device r1 error : step create_ospf_configuration: failed with error ""unable to configure ospf for device r1 with"""
4,L3TC_FUNC_VRRP_13,virgo_csc,step_validate_ospf_neighbour,"2024-01-02 15:00:40,198 INFO    : ###############################################################################2024-01-02 15:00:40,198 INFO    : |                        step_validate_ospf_neighbour                        |2024-01-02 15:00:40,198 INFO    : |                      Verify OSPF neighbor on all nodes                      |2024-01-02 15:00:40,199 INFO    : ###############################################################################2024-01-02 15:00:40,199 INFO    : Verifying OSPF neighbors2024-01-02 15:00:40,221 DEBUG   : [r1] switching to base prompt2024-01-02 15:00:40,221 INFO    : [r1] => command: end2024-01-02 15:00:40,302 DEBUG   : [r1] switching to base prompt2024-01-02 15:00:40,302 INFO    : [r1] => command: end2024-01-02 15:00:40,373 DEBUG   : [r1] => : show ip ospf neighbor2024-01-02 15:00:44,677 DEBUG   : [r1] <= output:  Vrf  default   Neighbor-ID     Pri   State          DeadTime   Address         Interface   Helper      HelperAge     HelperER   Bfd         -----------     ---   -----          --------   -------         ---------   ---------   ------------  ---------  -----        2024-01-02 15:00:44,678 DEBUG   : [r1] using default parser...2024-01-02 15:00:44,678 DEBUG   : [r1] Using template C:\Users\mangatayaruk\repo\saspylib\src\saspylib\./ttp_templates\neos\ospf_neighbors.ttp to parse raw data2024-01-02 15:00:44,684 ERROR   : No neighbors found2024-01-02 15:00:44,684 ERROR   : Step step_validate_ospf_neighbour: Failed with error ""Failure: OSPF neighbor status on r1 not proper""",FAIL,Failure: OSPF neighbor status on r1 not proper,node_issue,"info : info : | step_validate_ospf_neighbour | info : | verify ospf neighbor on all nodes | info : info : verifying ospf neighbors debug : [r1] switching to base prompt info : [r1] => command: end debug : [r1] switching to base prompt info : [r1] => command: end debug : [r1] => : show ip ospf neighbor debug : [r1] <= output: vrf default neighbor-id pri state deadtime address interface helper helperage helperer bfd ----------- --- ----- -------- ------- --------- --------- ------------ --------- ----- debug : [r1] using default parser... debug : [r1] using template c:\users\mangatayaruk\repo\saspylib\src\saspylib\./ttp_templates\neos\ospf_neighbors.ttp to parse raw data error : no neighbors found error : step step_validate_ospf_neighbour: failed with error ""failure: ospf neighbor status on r1 not proper"""
5,L3TC_FUNC_VRRP_13,virgo_csc,step_validate_ospf_neighbour,"2024-01-02 15:06:39,619 INFO    : ###############################################################################2024-01-02 15:06:39,620 INFO    : |                        step_validate_ospf_neighbour                        |2024-01-02 15:06:39,620 INFO    : |                      Verify OSPF neighbor on all nodes                      |2024-01-02 15:06:39,620 INFO    : ###############################################################################2024-01-02 15:06:39,620 INFO    : Verifying OSPF neighbors2024-01-02 15:06:39,642 DEBUG   : [r1] switching to base prompt2024-01-02 15:06:39,642 INFO    : [r1] => command: end2024-01-02 15:06:39,746 DEBUG   : [r1] switching to base prompt2024-01-02 15:06:39,746 INFO    : [r1] => command: end2024-01-02 15:06:39,816 DEBUG   : [r1] => : show ip ospf neighbor2024-01-02 15:06:44,121 DEBUG   : [r1] <= output:  Vrf  default   Neighbor-ID     Pri   State          DeadTime   Address         Interface   Helper      HelperAge     HelperER   Bfd         -----------     ---   -----          --------   -------         ---------   ---------   ------------  ---------  -----        2024-01-02 15:06:44,122 DEBUG   : [r1] using default parser...2024-01-02 15:06:44,122 DEBUG   : [r1] Using template C:\Users\mangatayaruk\repo\saspylib\src\saspylib\./ttp_templates\neos\ospf_neighbors.ttp to parse raw data2024-01-02 15:06:44,128 ERROR   : No neighbors found2024-01-02 15:06:44,128 ERROR   : Step step_validate_ospf_neighbour: Failed with error ""Failure: OSPF neighbor status on r1 not proper""",FAIL,Failure: OSPF neighbor status on r1 not proper,node_issue,"info : info : | step_validate_ospf_neighbour | info : | verify ospf neighbor on all nodes | info : info : verifying ospf neighbors debug : [r1] switching to base prompt info : [r1] => command: end debug : [r1] switching to base prompt info : [r1] => command: end debug : [r1] => : show ip ospf neighbor debug : [r1] <= output: vrf default neighbor-id pri state deadtime address interface helper helperage helperer bfd ----------- --- ----- -------- ------- --------- --------- ------------ --------- ----- debug : [r1] using default parser... debug : [r1] using template c:\users\mangatayaruk\repo\saspylib\src\saspylib\./ttp_templates\neos\ospf_neighbors.ttp to parse raw data error : no neighbors found error : step step_validate_ospf_neighbour: failed with error ""failure: ospf neighbor status on r1 not proper"""
6,L3TC_FUNC_VRRP_13,virgo_csc,step_validate_ospf_neighbour,"2024-01-02 15:19:02,347 INFO    : ###############################################################################2024-01-02 15:19:02,347 INFO    : |                        step_validate_ospf_neighbour                        |2024-01-02 15:19:02,348 INFO    : |                      Verify OSPF neighbor on all nodes                      |2024-01-02 15:19:02,348 INFO    : ###############################################################################2024-01-02 15:19:02,348 INFO    : Verifying OSPF neighbors2024-01-02 15:19:02,370 DEBUG   : [r1] switching to base prompt2024-01-02 15:19:02,370 INFO    : [r1] => command: end2024-01-02 15:19:02,440 DEBUG   : [r1] switching to base prompt2024-01-02 15:19:02,440 INFO    : [r1] => command: end2024-01-02 15:19:02,511 DEBUG   : [r1] => : show ip ospf neighbor2024-01-02 15:19:06,816 DEBUG   : [r1] <= output:  Vrf  default   Neighbor-ID     Pri   State          DeadTime   Address         Interface   Helper      HelperAge     HelperER   Bfd         -----------     ---   -----          --------   -------         ---------   ---------   ------------  ---------  -----      2024-01-02 15:19:06,816 DEBUG   : [r1] using default parser...2024-01-02 15:19:06,818 DEBUG   : [r1] Using template C:\Users\mangatayaruk\repo\saspylib\src\saspylib\./ttp_templates\neos\ospf_neighbors.ttp to parse raw data2024-01-02 15:19:06,823 ERROR   : No neighbors found2024-01-02 15:19:06,823 ERROR   : Step step_validate_ospf_neighbour: Failed with error ""Failure: OSPF neighbor status on r1 not proper""",FAIL,Failure: OSPF neighbor status on r1 not proper,node_issue,"info : info : | step_validate_ospf_neighbour | info : | verify ospf neighbor on all nodes | info : info : verifying ospf neighbors debug : [r1] switching to base prompt info : [r1] => command: end debug : [r1] switching to base prompt info : [r1] => command: end debug : [r1] => : show ip ospf neighbor debug : [r1] <= output: vrf default neighbor-id pri state deadtime address interface helper helperage helperer bfd ----------- --- ----- -------- ------- --------- --------- ------------ --------- ----- debug : [r1] using default parser... debug : [r1] using template c:\users\mangatayaruk\repo\saspylib\src\saspylib\./ttp_templates\neos\ospf_neighbors.ttp to parse raw data error : no neighbors found error : step step_validate_ospf_neighbour: failed with error ""failure: ospf neighbor status on r1 not proper"""
7,L3TC_FUNC_VRRP_13,virgo_csc,step_validate_ospf_neighbour,"2024-01-02 16:34:53,016 INFO    : ###############################################################################2024-01-02 16:34:53,016 INFO    : |                        step_validate_ospf_neighbour                        |2024-01-02 16:34:53,017 INFO    : |                      Verify OSPF neighbor on all nodes                      |2024-01-02 16:34:53,017 INFO    : ###############################################################################2024-01-02 16:34:53,017 INFO    : Verifying OSPF neighbors2024-01-02 16:34:53,029 DEBUG   : [r1] switching to base prompt2024-01-02 16:34:53,029 INFO    : [r1] => command: end2024-01-02 16:34:53,144 DEBUG   : [r1] switching to base prompt2024-01-02 16:34:53,144 INFO    : [r1] => command: end2024-01-02 16:34:53,214 DEBUG   : [r1] => : show ip ospf neighbor2024-01-02 16:34:57,520 DEBUG   : [r1] <= output:  Vrf  default   Neighbor-ID     Pri   State          DeadTime   Address         Interface   Helper      HelperAge     HelperER   Bfd         -----------     ---   -----          --------   -------         ---------   ---------   ------------  ---------  -----      2024-01-02 16:34:57,521 DEBUG   : [r1] using default parser...2024-01-02 16:34:57,521 DEBUG   : [r1] Using template C:\Users\mangatayaruk\repo\saspylib\src\saspylib\./ttp_templates\neos\ospf_neighbors.ttp to parse raw data2024-01-02 16:34:57,527 ERROR   : No neighbors found2024-01-02 16:34:57,527 ERROR   : Step step_validate_ospf_neighbour: Failed with error ""Failure: OSPF neighbor status on r1 not proper""",FAIL,Failure: OSPF neighbor status on r1 not proper,node_issue,"info : info : | step_validate_ospf_neighbour | info : | verify ospf neighbor on all nodes | info : info : verifying ospf neighbors debug : [r1] switching to base prompt info : [r1] => command: end debug : [r1] switching to base prompt info : [r1] => command: end debug : [r1] => : show ip ospf neighbor debug : [r1] <= output: vrf default neighbor-id pri state deadtime address interface helper helperage helperer bfd ----------- --- ----- -------- ------- --------- --------- ------------ --------- ----- debug : [r1] using default parser... debug : [r1] using template c:\users\mangatayaruk\repo\saspylib\src\saspylib\./ttp_templates\neos\ospf_neighbors.ttp to parse raw data error : no neighbors found error : step step_validate_ospf_neighbour: failed with error ""failure: ospf neighbor status on r1 not proper"""
8,L3TC_FUNC_VRRP_13,virgo_csc,step_validate_ospf_neighbour,"2024-01-02 16:43:55,569 INFO    : ###############################################################################2024-01-02 16:43:55,569 INFO    : |                        step_validate_ospf_neighbour                        |2024-01-02 16:43:55,569 INFO    : |                      Verify OSPF neighbor on all nodes                      |2024-01-02 16:43:55,570 INFO    : ###############################################################################2024-01-02 16:43:55,570 INFO    : Verifying OSPF neighbors2024-01-02 16:43:55,680 DEBUG   : [r1] switching to base prompt2024-01-02 16:43:55,680 INFO    : [r1] => command: end2024-01-02 16:43:55,915 DEBUG   : [r1] switching to base prompt2024-01-02 16:43:55,915 INFO    : [r1] => command: end2024-01-02 16:43:56,019 DEBUG   : [r1] => : show ip ospf neighbor2024-01-02 16:44:00,323 DEBUG   : [r1] <= output:  Vrf  default   Neighbor-ID     Pri   State          DeadTime   Address         Interface   Helper      HelperAge     HelperER   Bfd         -----------     ---   -----          --------   -------         ---------   ---------   ------------  ---------  -----      2024-01-02 16:44:00,324 DEBUG   : [r1] using default parser...2024-01-02 16:44:00,324 DEBUG   : [r1] Using template C:\Users\mangatayaruk\repo\saspylib\src\saspylib\./ttp_templates\neos\ospf_neighbors.ttp to parse raw data2024-01-02 16:44:00,330 ERROR   : No neighbors found2024-01-02 16:44:00,331 ERROR   : Step step_validate_ospf_neighbour: Failed with error ""Failure: OSPF neighbor status on r1 not proper""",FAIL,Failure: OSPF neighbor status on r1 not proper,node_issue,"info : info : | step_validate_ospf_neighbour | info : | verify ospf neighbor on all nodes | info : info : verifying ospf neighbors debug : [r1] switching to base prompt info : [r1] => command: end debug : [r1] switching to base prompt info : [r1] => command: end debug : [r1] => : show ip ospf neighbor debug : [r1] <= output: vrf default neighbor-id pri state deadtime address interface helper helperage helperer bfd ----------- --- ----- -------- ------- --------- --------- ------------ --------- ----- debug : [r1] using default parser... debug : [r1] using template c:\users\mangatayaruk\repo\saspylib\src\saspylib\./ttp_templates\neos\ospf_neighbors.ttp to parse raw data error : no neighbors found error : step step_validate_ospf_neighbour: failed with error ""failure: ospf neighbor status on r1 not proper"""
9,L3TC_FUNC_VRRP_13,virgo_csc,step_validate_ospf_neighbour,"2024-01-02 16:53:22,726 INFO    : ###############################################################################2024-01-02 16:53:22,726 INFO    : |                        step_validate_ospf_neighbour                        |2024-01-02 16:53:22,726 INFO    : |                      Verify OSPF neighbor on all nodes                      |2024-01-02 16:53:22,727 INFO    : ###############################################################################2024-01-02 16:53:22,727 INFO    : Verifying OSPF neighbors2024-01-02 16:53:22,749 DEBUG   : [r1] switching to base prompt2024-01-02 16:53:22,749 INFO    : [r1] => command: end2024-01-02 16:53:22,829 DEBUG   : [r1] switching to base prompt2024-01-02 16:53:22,829 INFO    : [r1] => command: end2024-01-02 16:53:22,900 DEBUG   : [r1] => : show ip ospf neighbor2024-01-02 16:53:27,205 DEBUG   : [r1] <= output:  Vrf  default   Neighbor-ID     Pri   State          DeadTime   Address         Interface   Helper      HelperAge     HelperER   Bfd         -----------     ---   -----          --------   -------         ---------   ---------   ------------  ---------  -----      2024-01-02 16:53:27,206 DEBUG   : [r1] using default parser...2024-01-02 16:53:27,206 DEBUG   : [r1] Using template C:\Users\mangatayaruk\repo\saspylib\src\saspylib\./ttp_templates\neos\ospf_neighbors.ttp to parse raw data2024-01-02 16:53:27,212 ERROR   : No neighbors found2024-01-02 16:53:27,212 ERROR   : Step step_validate_ospf_neighbour: Failed with error ""Failure: OSPF neighbor status on r1 not proper""",FAIL,Failure: OSPF neighbor status on r1 not proper,node_issue,"info : info : | step_validate_ospf_neighbour | info : | verify ospf neighbor on all nodes | info : info : verifying ospf neighbors debug : [r1] switching to base prompt info : [r1] => command: end debug : [r1] switching to base prompt info : [r1] => command: end debug : [r1] => : show ip ospf neighbor debug : [r1] <= output: vrf default neighbor-id pri state deadtime address interface helper helperage helperer bfd ----------- --- ----- -------- ------- --------- --------- ------------ --------- ----- debug : [r1] using default parser... debug : [r1] using template c:\users\mangatayaruk\repo\saspylib\src\saspylib\./ttp_templates\neos\ospf_neighbors.ttp to parse raw data error : no neighbors found error : step step_validate_ospf_neighbour: failed with error ""failure: ospf neighbor status on r1 not proper"""
